partecipant,match_id,datetime,group,stato_avanzamento_torneo,match_day,lock_timestamp,home_team,away_team,home_score,away_score,real_scorers,real_autogol_squadra_1,real_autogol_squadra_2,pred_home_score,pred_away_score,pred_result,pred_scorer,pred_autogol_squadra_1,pred_autogol_squadra_2,exact_score_points,result_1x2_points,scorer_points,own_goal_points,total_points
Alessandro,16,2026-06-16 03:00,G,Group Stage,1,2026-06-11 21:00:00,Iran,New Zealand,2,2,MOHEBBI Mohammad;REZAEIAN Ramin;JUST Elijah,False,False,0,1,2,WOOD Chris,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,17,2026-06-16 21:00,I,Group Stage,1,2026-06-11 21:00:00,France,Senegal,3,1,MBAPPE Kylian;BARCOLA Bradley;MBAYE Ibrahim,False,False,2,1,1,OLISE Michael,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,18,2026-06-17 00:00,I,Group Stage,1,2026-06-11 21:00:00,Iraq,Norway,1,4,AYMEN HUSSEIN;HAALAND Erling;OSTIGARD Leo,True,False,0,3,2,HAALAND Erling,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,19,2026-06-17 03:00,J,Group Stage,1,2026-06-11 21:00:00,Argentina,Algeria,3,0,MESSI Lionel,False,False,2,1,1,MARTINEZ Lautaro,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,20,2026-06-17 06:00,J,Group Stage,1,2026-06-11 21:00:00,Austria,Jordan,3,1,SCHMID Romano;ARNAUTOVIC Marko;ALI OLWAN,False,True,2,0,1,ARNAUTOVIC Marko,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,21,2026-06-17 19:00,K,Group Stage,1,2026-06-11 21:00:00,Portugal,Congo,1,1,JOAO NEVES;WISSA Yoane,False,False,1,1,X,FRANCISCO CONCEICAO,False,False,5.0,2.0,0.0,0.0,7.0
Alessandro,22,2026-06-17 22:00,L,Group Stage,1,2026-06-11 21:00:00,England,Croatia,4,2,BELLINGHAM Jude;KANE Harry;RASHFORD Marcus;BATURINA Martin;MUSA Petar,False,False,2,2,X,BELLINGHAM Jude,False,False,0.0,0.0,3.5,0.0,3.5
Alessandro,23,2026-06-18 01:00,L,Group Stage,1,2026-06-11 21:00:00,Ghana,Panama,1,0,YIRENKYI Caleb,False,False,1,1,X,MURILLO Amir,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,24,2026-06-18 04:00,K,Group Stage,1,2026-06-11 21:00:00,Uzbekistan,Colombia,1,3,FAYZULLAEV Abbosbek;CAMPAZ Jaminton;DIAZ Luis;MUNOZ Daniel,False,False,0,1,2,SUAREZ Luis,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,25,2026-06-18 18:00,A,Group Stage,2,2026-06-18 18:00:00,Czechia,South Africa,1,1,SADILEK Michal;MOKOENA Teboho,False,False,2,1,1,PROVOD Lukas,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,26,2026-06-18 21:00,B,Group Stage,2,2026-06-18 18:00:00,Switzerland,Bosnia and Herzegovina,4,1,MANZAMBI Johan;VARGAS Ruben;MAHMIC Ermin;XHAKA Granit,False,False,2,0,1,EMBOLO Breel,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,0,JIMENEZ Raul;QUINONES Julian,False,False,2,0,1,JIMENEZ Raul,False,False,5.0,2.0,3.5,0.0,10.5
Andrea,2,2026-06-12 04:00,A,Group Stage,1,2026-06-11 21:00:00,South Korea,Czechia,2,1,KREJCI Ladislav;HWANG Inbeom;OH Hyeongyu,False,False,1,2,2,SCHICK Patrik,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,3,2026-06-12 21:00,B,Group Stage,1,2026-06-11 21:00:00,Canada,Bosnia and Herzegovina,1,1,LARIN Cyle;LUKIC Jovo,False,False,1,1,X,DZEKO Edin,False,False,5.0,2.0,0.0,0.0,7.0
Andrea,4,2026-06-13 03:00,D,Group Stage,1,2026-06-11 21:00:00,USA,Paraguay,4,1,BALOGUN Folarin;REYNA Giovanni;MAURICIO,False,True,2,0,1,McKENNIE Weston,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,5,2026-06-13 21:00,B,Group Stage,1,2026-06-11 21:00:00,Qatar,Switzerland,1,1,BOUALEM KHOUKHI;EMBOLO Breel,False,False,0,2,2,NDOYE Dan,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,6,2026-06-14 00:00,C,Group Stage,1,2026-06-11 21:00:00,Brazil,Morocco,1,1,VINICIUS JUNIOR;SAIBARI Ismael,False,False,2,1,1,MATHEUS CUNHA,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,7,2026-06-14 03:00,C,Group Stage,1,2026-06-11 21:00:00,Haiti,Scotland,0,1,McGINN John,False,False,0,3,2,McTOMINAY Scott,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,8,2026-06-14 06:00,D,Group Stage,1,2026-06-11 21:00:00,Australia,Türkiye,2,0,IRANKUNDA Nestory;METCALFE Connor,False,False,1,3,2,CALHANOGLU Hakan,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,9,2026-06-14 19:00,E,Group Stage,1,2026-06-11 21:00:00,Germany,Curaçao,7,1,BROWN Nathaniel;HAVERTZ Kai;MUSIALA Jamal;NMECHA Felix;SCHLOTTERBECK Nico;UNDAV Deniz;COMENENCIA Livano,False,False,6,0,1,MUSIALA Jamal,False,False,0.0,2.0,3.5,0.0,5.5
Andrea,10,2026-06-14 22:00,F,Group Stage,1,2026-06-11 21:00:00,Netherlands,Japan,2,2,SUMMERVILLE Crysencio;VAN DIJK Virgil;KAMADA Daichi;NAKAMURA Keito,False,False,2,0,1,MALEN Donyell,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,11,2026-06-15 01:00,E,Group Stage,1,2026-06-11 21:00:00,Côte d'Ivoire,Ecuador,1,0,DIALLO Amad,False,False,1,1,X,DIALLO Amad,False,False,0.0,0.0,3.5,0.0,3.5
Andrea,12,2026-06-15 04:00,F,Group Stage,1,2026-06-11 21:00:00,Sweden,Tunisia,5,1,AYARI Yasin;GYOKERES Viktor;ISAK Alexander;SVANBERG Mattias;REKIK Omar,False,False,1,0,1,GYOKERES Viktor,False,False,0.0,2.0,3.5,0.0,5.5
Andrea,13,2026-06-15 18:00,H,Group Stage,1,2026-06-11 21:00:00,Spain,Cabo Verde,0,0,,False,False,5,0,1,YAMAL Lamine,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,14,2026-06-15 21:00,G,Group Stage,1,2026-06-11 21:00:00,Belgium,Egypt,1,1,EMAM ASHOUR,False,True,2,2,X,OMAR MARMOUSH,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,15,2026-06-16 00:00,H,Group Stage,1,2026-06-11 21:00:00,Saudi Arabia,Uruguay,1,1,ABDULELAH ALAMRI;ARAUJO Maxi,False,False,0,3,2,NUNEZ Darwin,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,16,2026-06-16 03:00,G,Group Stage,1,2026-06-11 21:00:00,Iran,New Zealand,2,2,MOHEBBI Mohammad;REZAEIAN Ramin;JUST Elijah,False,False,1,0,1,TAREMI Mehdi,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,17,2026-06-16 21:00,I,Group Stage,1,2026-06-11 21:00:00,France,Senegal,3,1,MBAPPE Kylian;BARCOLA Bradley;MBAYE Ibrahim,False,False,2,1,1,DOUE Desire,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,18,2026-06-17 00:00,I,Group Stage,1,2026-06-11 21:00:00,Iraq,Norway,1,4,AYMEN HUSSEIN;HAALAND Erling;OSTIGARD Leo,True,False,0,3,2,HAALAND Erling,False,False,0.0,2.0,3.5,0.0,5.5
Andrea,19,2026-06-17 03:00,J,Group Stage,1,2026-06-11 21:00:00,Argentina,Algeria,3,0,MESSI Lionel,False,False,2,1,1,SIMEONE Giuliano,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,20,2026-06-17 06:00,J,Group Stage,1,2026-06-11 21:00:00,Austria,Jordan,3,1,SCHMID Romano;ARNAUTOVIC Marko;ALI OLWAN,False,True,2,0,1,SABITZER Marcel,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,21,2026-06-17 19:00,K,Group Stage,1,2026-06-11 21:00:00,Portugal,Congo,1,1,JOAO NEVES;WISSA Yoane,False,False,3,0,1,CRISTIANO RONALDO,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,22,2026-06-17 22:00,L,Group Stage,1,2026-06-11 21:00:00,England,Croatia,4,2,BELLINGHAM Jude;KANE Harry;RASHFORD Marcus;BATURINA Martin;MUSA Petar,False,False,1,1,X,KANE Harry,False,False,0.0,0.0,3.5,0.0,3.5
Andrea,23,2026-06-18 01:00,L,Group Stage,1,2026-06-11 21:00:00,Ghana,Panama,1,0,YIRENKYI Caleb,False,False,2,1,1,SEMENYO Antoine,False,False,0.0,2.0,0.0,0.0,2.0
Andrea,24,2026-06-18 04:00,K,Group Stage,1,2026-06-11 21:00:00,Uzbekistan,Colombia,1,3,FAYZULLAEV Abbosbek;CAMPAZ Jaminton;DIAZ Luis;MUNOZ Daniel,False,False,0,3,2,DIAZ Luis,False,False,0.0,2.0,3.5,0.0,5.5
Andrea,25,2026-06-18 18:00,A,Group Stage,2,2026-06-18 18:00:00,Czechia,South Africa,1,1,SADILEK Michal;MOKOENA Teboho,False,False,3,0,1,SCHICK Patrik,False,False,0.0,0.0,0.0,0.0,0.0
Andrea,26,2026-06-18 21:00,B,Group Stage,2,2026-06-18 18:00:00,Switzerland,Bosnia and Herzegovina,4,1,MANZAMBI Johan;VARGAS Ruben;MAHMIC Ermin;XHAKA Granit,False,False,2,2,X,ALAJBEGOVIC Kerim,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,0,JIMENEZ Raul;QUINONES Julian,False,False,1,0,1,VEGA Alexis,False,False,0.0,2.0,0.0,0.0,2.0
Edoardo,2,2026-06-12 04:00,A,Group Stage,1,2026-06-11 21:00:00,South Korea,Czechia,2,1,KREJCI Ladislav;HWANG Inbeom;OH Hyeongyu,False,False,1,3,2,SCHICK Patrik,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,3,2026-06-12 21:00,B,Group Stage,1,2026-06-11 21:00:00,Canada,Bosnia and Herzegovina,1,1,LARIN Cyle;LUKIC Jovo,False,False,1,1,X,DZEKO Edin,False,False,5.0,2.0,0.0,0.0,7.0
Edoardo,4,2026-06-13 03:00,D,Group Stage,1,2026-06-11 21:00:00,USA,Paraguay,4,1,BALOGUN Folarin;REYNA Giovanni;MAURICIO,False,True,2,0,1,McKENNIE Weston,False,False,0.0,2.0,0.0,0.0,2.0
Edoardo,5,2026-06-13 21:00,B,Group Stage,1,2026-06-11 21:00:00,Qatar,Switzerland,1,1,BOUALEM KHOUKHI;EMBOLO Breel,False,False,0,3,2,EMBOLO Breel,False,False,0.0,0.0,3.5,0.0,3.5
Edoardo,6,2026-06-14 00:00,C,Group Stage,1,2026-06-11 21:00:00,Brazil,Morocco,1,1,VINICIUS JUNIOR;SAIBARI Ismael,False,False,3,1,1,HAKIMI Achraf,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,7,2026-06-14 03:00,C,Group Stage,1,2026-06-11 21:00:00,Haiti,Scotland,0,1,McGINN John,False,False,0,2,2,,True,False,0.0,2.0,0.0,0.0,2.0
Edoardo,8,2026-06-14 06:00,D,Group Stage,1,2026-06-11 21:00:00,Australia,Türkiye,2,0,IRANKUNDA Nestory;METCALFE Connor,False,False,0,2,2,CALHANOGLU Hakan,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,9,2026-06-14 19:00,E,Group Stage,1,2026-06-11 21:00:00,Germany,Curaçao,7,1,BROWN Nathaniel;HAVERTZ Kai;MUSIALA Jamal;NMECHA Felix;SCHLOTTERBECK Nico;UNDAV Deniz;COMENENCIA Livano,False,False,4,0,1,HAVERTZ Kai,False,False,0.0,2.0,3.5,0.0,5.5
Edoardo,10,2026-06-14 22:00,F,Group Stage,1,2026-06-11 21:00:00,Netherlands,Japan,2,2,SUMMERVILLE Crysencio;VAN DIJK Virgil;KAMADA Daichi;NAKAMURA Keito,False,False,2,1,1,DUMFRIES Denzel,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,11,2026-06-15 01:00,E,Group Stage,1,2026-06-11 21:00:00,Côte d'Ivoire,Ecuador,1,0,DIALLO Amad,False,False,1,1,X,,False,True,0.0,0.0,0.0,0.0,0.0
Edoardo,12,2026-06-15 04:00,F,Group Stage,1,2026-06-11 21:00:00,Sweden,Tunisia,5,1,AYARI Yasin;GYOKERES Viktor;ISAK Alexander;SVANBERG Mattias;REKIK Omar,False,False,1,1,X,SKHIRI Ellyes,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,13,2026-06-15 18:00,H,Group Stage,1,2026-06-11 21:00:00,Spain,Cabo Verde,0,0,,False,False,5,0,1,YAMAL Lamine,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,14,2026-06-15 21:00,G,Group Stage,1,2026-06-11 21:00:00,Belgium,Egypt,1,1,EMAM ASHOUR,False,True,3,2,1,,True,False,0.0,0.0,0.0,0.0,0.0
Edoardo,15,2026-06-16 00:00,H,Group Stage,1,2026-06-11 21:00:00,Saudi Arabia,Uruguay,1,1,ABDULELAH ALAMRI;ARAUJO Maxi,False,False,0,2,2,VALVERDE Federico,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,16,2026-06-16 03:00,G,Group Stage,1,2026-06-11 21:00:00,Iran,New Zealand,2,2,MOHEBBI Mohammad;REZAEIAN Ramin;JUST Elijah,False,False,2,0,1,TAREMI Mehdi,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,17,2026-06-16 21:00,I,Group Stage,1,2026-06-11 21:00:00,France,Senegal,3,1,MBAPPE Kylian;BARCOLA Bradley;MBAYE Ibrahim,False,False,2,1,1,MBAPPE Kylian,False,False,0.0,2.0,3.5,0.0,5.5
Edoardo,18,2026-06-17 00:00,I,Group Stage,1,2026-06-11 21:00:00,Iraq,Norway,1,4,AYMEN HUSSEIN;HAALAND Erling;OSTIGARD Leo,True,False,0,2,2,HAALAND Erling,False,False,0.0,2.0,3.5,0.0,5.5
Edoardo,19,2026-06-17 03:00,J,Group Stage,1,2026-06-11 21:00:00,Argentina,Algeria,3,0,MESSI Lionel,False,False,3,0,1,MARTINEZ Lautaro,False,False,5.0,2.0,0.0,0.0,7.0
Edoardo,20,2026-06-17 06:00,J,Group Stage,1,2026-06-11 21:00:00,Austria,Jordan,3,1,SCHMID Romano;ARNAUTOVIC Marko;ALI OLWAN,False,True,1,0,1,ARNAUTOVIC Marko,False,False,0.0,2.0,3.5,0.0,5.5
Edoardo,21,2026-06-17 19:00,K,Group Stage,1,2026-06-11 21:00:00,Portugal,Congo,1,1,JOAO NEVES;WISSA Yoane,False,False,3,0,1,CRISTIANO RONALDO,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,22,2026-06-17 22:00,L,Group Stage,1,2026-06-11 21:00:00,England,Croatia,4,2,BELLINGHAM Jude;KANE Harry;RASHFORD Marcus;BATURINA Martin;MUSA Petar,False,False,3,2,1,,True,False,0.0,2.0,0.0,0.0,2.0
Edoardo,23,2026-06-18 01:00,L,Group Stage,1,2026-06-11 21:00:00,Ghana,Panama,1,0,YIRENKYI Caleb,False,False,1,0,1,,False,True,5.0,2.0,0.0,0.0,7.0
Edoardo,24,2026-06-18 04:00,K,Group Stage,1,2026-06-11 21:00:00,Uzbekistan,Colombia,1,3,FAYZULLAEV Abbosbek;CAMPAZ Jaminton;DIAZ Luis;MUNOZ Daniel,False,False,0,2,2,SUAREZ Luis,False,False,0.0,2.0,0.0,0.0,2.0
Edoardo,25,2026-06-18 18:00,A,Group Stage,2,2026-06-18 18:00:00,Czechia,South Africa,1,1,SADILEK Michal;MOKOENA Teboho,False,False,2,1,1,ZIMA David,False,False,0.0,0.0,0.0,0.0,0.0
Edoardo,26,2026-06-18 21:00,B,Group Stage,2,2026-06-18 18:00:00,Switzerland,Bosnia and Herzegovina,4,1,MANZAMBI Johan;VARGAS Ruben;MAHMIC Ermin;XHAKA Granit,False,False,1,1,X,XHAKA Granit,False,False,0.0,0.0,3.5,0.0,3.5
Ferdinando,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,0,JIMENEZ Raul;QUINONES Julian,False,False,2,1,1,JIMENEZ Raul,False,False,0.0,2.0,3.5,0.0,5.5
Ferdinando,2,2026-06-12 04:00,A,Group Stage,1,2026-06-11 21:00:00,South Korea,Czechia,2,1,KREJCI Ladislav;HWANG Inbeom;OH Hyeongyu,False,False,1,1,X,SON Heungmin,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,3,2026-06-12 21:00,B,Group Stage,1,2026-06-11 21:00:00,Canada,Bosnia and Herzegovina,1,1,LARIN Cyle;LUKIC Jovo,False,False,1,1,X,DZEKO Edin,False,False,5.0,2.0,0.0,0.0,7.0
Ferdinando,4,2026-06-13 03:00,D,Group Stage,1,2026-06-11 21:00:00,USA,Paraguay,4,1,BALOGUN Folarin;REYNA Giovanni;MAURICIO,False,True,2,1,1,PULISIC Christian,False,False,0.0,2.0,0.0,0.0,2.0
Ferdinando,5,2026-06-13 21:00,B,Group Stage,1,2026-06-11 21:00:00,Qatar,Switzerland,1,1,BOUALEM KHOUKHI;EMBOLO Breel,False,False,0,2,2,SOW Djibril,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,6,2026-06-14 00:00,C,Group Stage,1,2026-06-11 21:00:00,Brazil,Morocco,1,1,VINICIUS JUNIOR;SAIBARI Ismael,False,False,2,0,1,VINICIUS JUNIOR,False,False,0.0,0.0,3.5,0.0,3.5
Ferdinando,7,2026-06-14 03:00,C,Group Stage,1,2026-06-11 21:00:00,Haiti,Scotland,0,1,McGINN John,False,False,0,3,2,ADAMS Che,False,False,0.0,2.0,0.0,0.0,2.0
Ferdinando,8,2026-06-14 06:00,D,Group Stage,1,2026-06-11 21:00:00,Australia,Türkiye,2,0,IRANKUNDA Nestory;METCALFE Connor,False,False,0,1,2,YILDIZ Kenan,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,9,2026-06-14 19:00,E,Group Stage,1,2026-06-11 21:00:00,Germany,Curaçao,7,1,BROWN Nathaniel;HAVERTZ Kai;MUSIALA Jamal;NMECHA Felix;SCHLOTTERBECK Nico;UNDAV Deniz;COMENENCIA Livano,False,False,5,0,1,MUSIALA Jamal,False,False,0.0,2.0,3.5,0.0,5.5
Ferdinando,10,2026-06-14 22:00,F,Group Stage,1,2026-06-11 21:00:00,Netherlands,Japan,2,2,SUMMERVILLE Crysencio;VAN DIJK Virgil;KAMADA Daichi;NAKAMURA Keito,False,False,2,2,X,REIJNDERS Tijjani,False,False,5.0,2.0,0.0,0.0,7.0
Ferdinando,11,2026-06-15 01:00,E,Group Stage,1,2026-06-11 21:00:00,Côte d'Ivoire,Ecuador,1,0,DIALLO Amad,False,False,0,1,2,VALENCIA Enner,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,12,2026-06-15 04:00,F,Group Stage,1,2026-06-11 21:00:00,Sweden,Tunisia,5,1,AYARI Yasin;GYOKERES Viktor;ISAK Alexander;SVANBERG Mattias;REKIK Omar,False,False,2,0,1,GYOKERES Viktor,False,False,0.0,2.0,3.5,0.0,5.5
Ferdinando,13,2026-06-15 18:00,H,Group Stage,1,2026-06-11 21:00:00,Spain,Cabo Verde,0,0,,False,False,4,0,1,OYARZABAL Mikel,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,14,2026-06-15 21:00,G,Group Stage,1,2026-06-11 21:00:00,Belgium,Egypt,1,1,EMAM ASHOUR,False,True,1,2,2,MOHAMED SALAH,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,15,2026-06-16 00:00,H,Group Stage,1,2026-06-11 21:00:00,Saudi Arabia,Uruguay,1,1,ABDULELAH ALAMRI;ARAUJO Maxi,False,False,1,2,2,VALVERDE Federico,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,16,2026-06-16 03:00,G,Group Stage,1,2026-06-11 21:00:00,Iran,New Zealand,2,2,MOHEBBI Mohammad;REZAEIAN Ramin;JUST Elijah,False,False,2,1,1,TAREMI Mehdi,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,17,2026-06-16 21:00,I,Group Stage,1,2026-06-11 21:00:00,France,Senegal,3,1,MBAPPE Kylian;BARCOLA Bradley;MBAYE Ibrahim,False,False,3,1,1,OLISE Michael,False,False,5.0,2.0,0.0,0.0,7.0
Ferdinando,18,2026-06-17 00:00,I,Group Stage,1,2026-06-11 21:00:00,Iraq,Norway,1,4,AYMEN HUSSEIN;HAALAND Erling;OSTIGARD Leo,True,False,1,3,2,HAALAND Erling,False,False,0.0,2.0,3.5,0.0,5.5
Ferdinando,19,2026-06-17 03:00,J,Group Stage,1,2026-06-11 21:00:00,Argentina,Algeria,3,0,MESSI Lionel,False,False,2,1,1,MARTINEZ Lautaro,False,False,0.0,2.0,0.0,0.0,2.0
Ferdinando,20,2026-06-17 06:00,J,Group Stage,1,2026-06-11 21:00:00,Austria,Jordan,3,1,SCHMID Romano;ARNAUTOVIC Marko;ALI OLWAN,False,True,2,0,1,ARNAUTOVIC Marko,False,False,0.0,2.0,3.5,0.0,5.5
Ferdinando,21,2026-06-17 19:00,K,Group Stage,1,2026-06-11 21:00:00,Portugal,Congo,1,1,JOAO NEVES;WISSA Yoane,False,False,3,0,1,CRISTIANO RONALDO,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,22,2026-06-17 22:00,L,Group Stage,1,2026-06-11 21:00:00,England,Croatia,4,2,BELLINGHAM Jude;KANE Harry;RASHFORD Marcus;BATURINA Martin;MUSA Petar,False,False,2,1,1,KANE Harry,False,False,0.0,2.0,3.5,0.0,5.5
Ferdinando,23,2026-06-18 01:00,L,Group Stage,1,2026-06-11 21:00:00,Ghana,Panama,1,0,YIRENKYI Caleb,False,False,2,0,1,WILLIAMS Inaki,False,False,0.0,2.0,0.0,0.0,2.0
Ferdinando,24,2026-06-18 04:00,K,Group Stage,1,2026-06-11 21:00:00,Uzbekistan,Colombia,1,3,FAYZULLAEV Abbosbek;CAMPAZ Jaminton;DIAZ Luis;MUNOZ Daniel,False,False,1,1,X,DIAZ Luis,False,False,0.0,0.0,3.5,0.0,3.5
Ferdinando,25,2026-06-18 18:00,A,Group Stage,2,2026-06-18 18:00:00,Czechia,South Africa,1,1,SADILEK Michal;MOKOENA Teboho,False,False,2,0,1,SCHICK Patrik,False,False,0.0,0.0,0.0,0.0,0.0
Ferdinando,26,2026-06-18 21:00,B,Group Stage,2,2026-06-18 18:00:00,Switzerland,Bosnia and Herzegovina,4,1,MANZAMBI Johan;VARGAS Ruben;MAHMIC Ermin;XHAKA Granit,False,False,1,0,1,EMBOLO Breel,False,False,0.0,2.0,0.0,0.0,2.0
Gabriele,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,0,JIMENEZ Raul;QUINONES Julian,False,False,3,0,1,QUINONES Julian,False,False,0.0,2.0,3.5,0.0,5.5
Gabriele,2,2026-06-12 04:00,A,Group Stage,1,2026-06-11 21:00:00,South Korea,Czechia,2,1,KREJCI Ladislav;HWANG Inbeom;OH Hyeongyu,False,False,0,2,2,,True,False,0.0,0.0,0.0,0.0,0.0
